{'elevation': 19.0, 'canting': 7.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.90778105579833, 'frequency': 35.5, 'n': (5.205429028358611+2.7778295107639392j), 'wl': 8.444857971830986, 'prefactor': 0.054621180151764676}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
1.81,3.2870598983253725,2.888805692593311,4.770680629336431,1.9205805595189138,0.010271087253263244,0.9429060331679504
1.82,3.3884895131209865,2.974034128008286,4.88019507805005,1.985132077976277,0.010457421279958449,0.942202103943528
1.83,3.4915849627649242,3.0605416319979764,4.991436229519054,2.0514815604552754,0.010639427215501405,0.9414980504189505
1.84,3.5963219567828846,3.1483076111333035,5.104395703916926,2.119668848917385,0.010816679845149542,0.940793875396608
1.85,3.702673904950427,3.237310029194531,5.2190625699508635,2.1897344438457704,0.010988791330297972,0.9400895816690624
1.86,3.8106133590570623,3.327525075780283,5.335424735962379,2.2617195114618314,0.011155390363534782,0.9393851720190479
1.87,3.9201100588352755,3.41892901408251,5.4534678688983504,2.335665890981085,0.011316050271924633,0.9386806492194704
1.8800000000000001,4.031133353935377,3.5114965878050364,5.573176741890497,2.4116161019083675,0.011470405138637518,0.9379760160334079
1.8900000000000001,4.143650480977481,3.6052018590405237,5.694534143669269,2.489613351372367,0.011618049417623892,0.9372712752141104
1.9000000000000001,4.257627055407429,3.7000177962128116,5.8175209991105135,2.569701541499484,0.011758593524815049,0.9365664295049999
1.9100000000000001,4.373028096534332,3.795917069367929,5.9421174785982425,2.6519252768270154,0.011891670070635608,0.9358614816396705
1.9200000000000002,4.489815880910346,3.892870404818505,6.068302207145026,2.736329871755671,0.012016889581923694,0.935156434341888
1.93,4.607953091240545,3.990849037067346,6.196051918822628,2.822961358041412,0.012133896995951505,0.9344512903255905
1.94,4.7273995609691335,4.089822904527895,6.325342344251789,2.9118664923266246,0.012242315968234104,0.9337460522948879
1.95,4.8481147334444135,4.189761214859113,6.456148422443205,3.003092763710609,0.012341790956805055,0.9330407229440625
1.96,4.9700569983012395,4.2906325660173685,6.588443343195929,3.0966884013594034,0.012432001368229315,0.9323353049575679
1.97,5.093181597239646,4.39240441411322,6.722200217730474,3.192702382154938,0.012512557779256655,0.9316298010100305
1.98,5.217446690542116,4.495044955901478,6.857389970182037,3.29118443838351,0.012583189813187507,0.930924213766248
1.99,5.34280510747481,4.598520167146446,6.99398355143015,3.3921850654635866,0.012643520468125361,0.9302185458811905
2.0,5.469210998021323,4.702796926635505,7.131950277166363,3.4957555297129392,0.0126932694351647,0.9295128
2.01,5.596617844929975,4.807840202653557,7.271259594129646,3.6019478761551,0.012732155497413303,0.9288069787579906
2.02,5.7249769723644945,4.913615973087993,7.411879321839376,3.7108149363651584,0.012759873070979687,0.9281010847806479
2.03,5.854238913725801,5.020088542753004,7.553777008402178,3.8224103363548485,0.012776138709414105,0.9273951206836304
2.04,5.984354472949685,5.1272223650935,7.696919878670811,3.93678850449703,0.012780696247775386,0.926689089072768
2.05,6.115272760334059,5.23498072868583,7.841274301978364,4.0540046794894105,0.012773311373598833,0.9259829925440624
2.0599999999999996,6.246943115249884,5.34332745330583,7.986806292345767,4.174114918357681,0.012753755331256035,0.9252768336836881
2.07,6.379312583683161,5.45222662393549,8.133481292773212,4.297176104497922,0.012721764028742106,0.9245706150679905
2.0799999999999996,6.512329526698223,5.561639587984772,8.281264898006217,4.423245955758336,0.012677169395122779,0.9238643392634879
2.09,6.645938948355612,5.671529191042639,8.430121586669754,4.552383032560364,0.012619734450897766,0.9231580088268704
2.0999999999999996,6.780089241958679,5.781857462808389,8.580016563351425,4.684646746059043,0.012549325691880723,0.922451626305
2.11,6.914723592082762,5.892585248757446,8.73091349131553,4.820097366342787,0.01246575442657604,0.9217451942349105
2.1199999999999997,7.049788723393926,6.003675835734344,8.882777258050455,4.958796030672397,0.01236883634721293,0.9210387151438079
2.13,7.1852279398700505,6.115089249429293,9.035571903793398,5.100804751759493,0.012258415171491649,0.9203321915490705
2.1399999999999997,7.320986850096385,6.226785560568529,9.189261501276683,5.246186426084182,0.012134453573631567,0.9196256259582479
2.15,7.457007991783108,6.338726944514032,9.343809492157677,5.395004842252146,0.011996740843081407,0.9189190208690624
2.1599999999999997,7.593235014917515,6.45087244694271,9.499180426678217,5.54732468939096,0.011845229514908531,0.918212378769408
2.17,7.7296107851236755,6.563181542897374,9.655338235186486,5.703211565585838,0.011679840776576755,0.9175057021373505
2.1799999999999997,7.866077553170311,6.675616655402633,9.81224686065697,5.862731986354604,0.011500422261194654,0.9167989934411279
2.19,8.002577964692883,6.788134734119202,9.969869701821766,6.025953393162095,0.011306994502229505,0.9160922551391505
2.1999999999999997,8.139054668182437,6.900696050843437,10.128171881498904,6.192944161973779,0.011099499081530689,0.91538548968
